"item","kappa_score","z_score","p_value","gabe_num","koen_num"
"out_misrep",0.429020584920212,14.6751653647649,0,24,39
"out_emo_lang",0.500510841185152,16.8060622444626,0,38,28
"out_ideo_extrem",0,0,1,0,5
"out_slip_slope",0,NA,NA,0,2
"out_insult",0.469876111653729,16.3578880285685,0,97,54
"out_mock_sarc",0.349322434932245,13.6864445495726,0,13,4
"out_threat",NA,NA,NA,0,0
"pa_dress",1,33.1662479035291,0,2,2
"pa_appear",NA,NA,NA,0,0
"pa_attit",0.446162698698122,15.1607529678669,0,64,42
"pa_interact",0.162606577344711,5.72368875974071,1.04235633457961e-08,8,4
"pa_humor",0.799562682215757,27.0677936361014,0,3,2
"pa_other",0.375327625371311,12.8238330196642,0,8,13
"pb_sex",0.908637873754158,30.262675495691,0,3,2.5
"pb_lgbtq",NA,NA,NA,0,0
"pb_race",NA,NA,NA,0,0
"pb_origin",0,NA,NA,3,0
"pb_nuero_div",NA,NA,NA,0,0
"pb_phys_able",0,NA,NA,0,1
"pb_pol_affil",0.739159891598917,26.0141655736725,0,7.5,6
"complex",0.19805589307412,6.81684056556418,9.30655552622284e-12,57,95
"constructive",0.201612903225809,10.3427876275216,0,7,50
"reflective",0.354313413618116,12.3704999313362,0,17,32
"outrage_agg",0.535702226031845,22.3793507658139,0,172,132
"personal_attack_agg",0.482508526848137,17.023978768784,0,85,63
"prejudice_agg",0.648225135913013,24.894914361544,0,13.5,9.5
