row_id,pid,question,comment_clean,out_misrep,out_emo_lang,out_ideo_extrem,out_slip_slope,out_insult,out_mock_sarc,out_threat,pa_dress,pa_appear,pa_attit,pa_interact,pa_humor,pa_other,pb_sex,pb_lgbtq,pb_race,pb_origin,pb_nuero_div,pb_phys_able,pb_pol_affil,complex,constructive,reflective
1014,26897187,weaknesses,Labs kind of sucked. The PLC labs and those guys coming in to talk about controllers were pretty cool.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1645,92350914,weaknesses,"Everything about the class was a weakness. The class is set up like garbage. The teaching of the material sucks. They do not want us to succeed. And then at the end of the semester only a handful of people are passing the class, so it obviously must be the students fault. I mean it could never be the fault of the makers of the class, right?. Which is completely wrong. and set this class up for you to fail or get a very bad grade. They do not want you to succeed in this class. And if that isn't the case, then why does everyone say that about this class? If the class is not flawed, then why does everyone dislike it and do poorly in it? I mean come on, it does not take a rocket scientist to realize that this class is set up for failure.",1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743,57088410,improved,"why is this a 2-credit hour course.... we meet for the same amount of time a week that a 3-credit hour class does. I end up putting in more hours a week on a stupid 2 credit hour class than I do a 3 credit hour. the work load is too much. why are we doing reports, exams, and a fat group project. dum",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1594,42663180,weaknesses,Sarcastic comments/feedback served only to make the student feel stupid and was not productive or helpful.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
557,14391955,weaknesses,"It only being offered as a once per week 3 hour class was quite annoying to me. I would have preferred it to meet twice a week. Often, we strayed away from the course material and talked about other topics such as gun control. When this occurred, I often felt targeted as everyone in the class and Dr. would contribute to how the thought people who support gun rights were _stupid individuals_ for believing what they do. Lastly, all of the course material was taught through a power point. A single power point, that is 300+ slides packed with information.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
488,93372762,weaknesses,I HATED the blanks it is the worst thing known to man. As someone who solely focused on filling the blanks I consistently missed what she was lecturing about. IT WAS THE BIGGEST WASTE OF MY TIME. It takes away from learning _to make students pay attention._ How can we pay attention if we are solely focused on filling in the blanks come on Dr. use some common sense.,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
616,91242231,improved,"Get rid of Dr. . She is so disrespectful to todays patients it is sad. She even brought in her husband to show how much of a rude judgmental she is. All he talked about is how much he loves to judge patients and not actually help them remedy their pain. She showed her true colors this semester aside her husband, she is a terrible representation to professional nurses everywhere. She does not care about seeing students succeed it is almost like it is her duty to try and make students fail.",1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
1831,52924429,improved,i feel the nacb project is a half assed take on what we did in FOD 1 and 2 and doesn't hold much value in the class especially going back to Arduino for the project when we've been using matlab all year in addition it doesn't corelate with anything else in that class and seems like busy work that's already been done in the last two semesters if there was to be a way to improve it i think you should change it to a group coding on matlab so it stays within the class materials we use and still keeps the group aspect.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
575,89227475,weaknesses,The only weakness of this course is that you must be self driven and stay on top of the reading for the course. It would be easy to feign reading the article and still participate to some degree in the cl**** though it would be just setting yourself up for failure. * Inappropriate words were found and removed from this response.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
559,22383186,weaknesses,The course is taught by a fossil with extremely dated views that he loves to insert into every conversation in this course. The lectures could put someone on coke to sleep and the videos we watch are worse.,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
613,79460950,improved,GIT RID OF THE BLANKS. Also don't take over a month to grade our papers next time. We know you are busy but delegate your work if you are overwhelmed so are the students. The paper doesn't facilitate any new learnings anyways.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1660,61276469,weaknesses,"At the same time, I'm really bad at getting help with stuff I'm stuck on and would definitely bang my head against the wall for more than I had to sometimes.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1889,97928851,weaknesses,"The book was horrible, online textbook is not the way to go.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
397,26923255,strengths,I really enjoyed the labs in this cl**** they helped me understand concepts a lot better. * Inappropriate words were found and removed from this response.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,91409260,weaknesses,boring material,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
491,44661528,weaknesses,"ATI how is that fair you don't teach us about it all semester and them make it an exam grade. Absolutely terrible teaching. I don't get how she is the director of nursing she is mean, judgmental, and temperamental. She is old and out of touch with current nursing practices. maybe she should go back to the bedside to learn something because she has not taught us anything helpful.",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
244,45842904,weaknesses,Prof is kinda annoying,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1867,23917396,strengths,professor Baez made a somewhat dry subject fun; never made anyone feel as if they dumb for not knowing answers asked of them in class; liked how open discussions always were,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
567,27263276,weaknesses,"There are many weaknesses to this course. This was the first time this course was offered. There was not complete syllabus until the end of February. The assignments were ridiculous at times, and it seemed that we were just doing Dr. 's dirty work for the Ray Brown project. He did not go a good job of explaining what his grading criteria were for the group project.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1573,13524941,weaknesses,The sarcastic and sometimes rude comments on reports with little helpful info. The fact that it seems as if you are being judged every time you make a mistake. Lectures were like a boring lullaby that makes you wanna sleep as soon as you sit down.,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1478,34845625,strengths,"The independence given to you at the beginning of the semester is good since you are not overloaded, but also a curse because you forget how much you still have to complete for tier 1.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,18351058,strengths,I loved how Dr. would use a lot of diverse music in his examples. I had a great time listening to it. I would always text my mom or dad when a song that we knew was played. I honestly was not expecting to like this course at all but it was a lot of fun. Normally Gen Eds like #10 for Diversity we have to do just suck and we don't really learn anything useful but this one was awesome and I feel like I actually can appreciate and talk about music with other people now. I liked that we get to present our own music and our take on it. I always got a good laugh out of the people who went up and played a song and obviously had not been paying attention in class because they had no idea what they were talking about. (It was always the people who brought the country songs too) :D I listen to a lot of music and this class has made me aware of what I like and dislike in a song and given me the ability to actually express that using words. I can also more effectively search up music that I might like and try out new things too.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
513,97175407,weaknesses,Material was repetitive and boring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1475,10234646,strengths,dr. is a very nice guy and he's passionate about this course he tried to light a fire under everyone's *** when the class was behind in work and i feel he did it in a good way not getting agitated or mad just making sure we knew as a class where we were at. i liked the figure it out by yourself element of the class as i think i work better with hands on items * Inappropriate words were found and removed from this response.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
