"row_id","pid","question","comment_clean","out_misrep","out_emo_lang","out_ideo_extrem","out_slip_slope","out_insult","out_mock_sarc","out_threat","pa_dress","pa_appear","pa_attit","pa_interact","pa_humor","pa_other","pb_sex","pb_lgbtq","pb_race","pb_origin","pb_nuero_div","pb_phys_able","pb_pol_affil","complex","constructive","reflective","total_toxicity","TOXICITY","SEVERE_TOXICITY","INSULT","TOXICITY2"
55,80445860,"improved","This class could be improved by Professor retiring and getting a new professor.",0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0.01218908,0.0006914139,0.0076268767,0.0128804939
243,38536378,"weaknesses","What wasnt a weakness of this course... The room in inaccessible, the only way you can get there is by going up 3 flights of stairs. He refused to make the room accessible, and would not work with me on my accommodations until multiple people got involved (Heather Nash, Melissa Verb, Lynda Nyce) On the first day let us know that he didn't care enough to learn out names, multiple times in the course he would make racist or otherwise inappropriate jokes. He graded kids badly if they chose _Boring song_. Often making fun of students if he found the song they presented on as boring. He was terrible at teaching the material, it was almost impossible to keep awake. Almost every single student had their phone or laptop out and was working on other assignments, or even playing chess. Once a student gave their presentation he would grill them, asking them questions that had nothing to do with the assignment. Even during our final presentations he said after 7 minutes of questioning a student _okay I guess Ill be done grilling you_. He is unprofessional, uneducated, mean, racist, sexist, ableists and classist. At one point he told a student (whose English is their second language) that they needed to speak more clearly or be docked points. This same student in another class was terrified to give a presentation after being told this by Dr. . He told this same student that their opinion on Japanese music (his country of origination) was wrong.",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0.19599396,0.0044822693,0.10148193,0.2004762293
244,45842904,"weaknesses","Prof is kinda annoying",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.29405528,0.005378723,0.24928534,0.299434003
315,16705344,"improved","the assignments are set up to be discussed, so the class should be set up in groups for discussion about certain topics to come to the conclusions he wants rather than being lectured on. he needs to keep his opinions to himself and let students discuss to learn. change the paper topic every time and discuss in class after grading what you're looking for. teach topics/ points you want included in papers in class rather than talking about supporting examples and not connecting them. connect to modern day topics, not old history or religion that is difficult for students to connect to. this class is well set up, but should be taught by a different professor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0.25,0.02638162,0.00093460083,0.0142009165,0.02731622083
324,44516777,"improved","Just give us a different professor. Dr. was not the original professor we signed up for, and I have a good feeling that if we would have had the chance to choose between him and anyone else we would have gone with the other .",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.015393426,0.00057697296,0.009127886,0.01597039896
336,62363827,"improved","Add in a few more experimental teaching methods and pull back on the less professional conduct (Although I do think it is fine in mediation)",0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.027913637,0.0009584427,0.013212911,0.0288720797
352,41234822,"strengths","It was good if you had a hx of healthcare experience it was impossible for someone without it tho. It should be more ample to share learning outcomes since it does not facilitate at all about thinking like a nurse. The professor just keeps saying that but does not show or explain how and then with the exams that's all there was to it.",0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.01419965,0.00064373016,0.009374888,0.01484338016
429,84030222,"strengths","The topic is good. Everything else about this course is a dumpster fire.",0,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0.16331999,0.0033187866,0.06494803,0.1666387766
437,93412740,"strengths","The only strength of the course was going to a Toledo Mudhens game.",0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.013257195,0.0007915497,0.007873878,0.0140487447
488,93372762,"weaknesses","I HATED the blanks it is the worst thing known to man. As someone who solely focused on filling the blanks I consistently missed what she was lecturing about. IT WAS THE BIGGEST WASTE OF MY TIME. It takes away from learning _to make students pay attention._ How can we pay attention if we are solely focused on filling in the blanks come on Dr. use some common sense.",0.5,1,0,0,1,1,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,4,0.3969567,0.019998873,0.24171697,0.416955573
491,44661528,"weaknesses","ATI how is that fair you don't teach us about it all semester and them make it an exam grade. Absolutely terrible teaching. I don't get how she is the director of nursing she is mean, judgmental, and temperamental. She is old and out of touch with current nursing practices. maybe she should go back to the bedside to learn something because she has not taught us anything helpful.",0,0,0,0,1,0,0,0,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,2.5,0.29771072,0.0044822693,0.2735258,0.3021929893
500,90801622,"weaknesses","The teacher just lectured the entire time about the homework we completed prior to class, it became very repetitive and monotonousÂ",0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.056016337,0.0012111664,0.027605021,0.0572275034
514,28383354,"weaknesses","Talk. Talk. Talk. Just sit in class for 50 minutes and listen to the prof talk. Extremely boring.",0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.147767,0.0016498566,0.06442356,0.1494168566
527,92335550,"weaknesses","The professor. Seems she enjoys preaching information, but not actually TEACHING students. Seems to passive aggressively pick on students, making small comments here and there, and having favorites to cold call in class. Constructive criticisms were more criticism than constructive, especially on lab days. Overall vibe that the professor does not enjoy being around students but she overcompensates with her tone and behavior - very _Nice Mean Girl_ -esque behavior. Made the class difficult for me, as I was constantly bothered by her general demeanor and way of speaking to students. She also seemed a bit bothered by any questions regarding the content, which made me not want to clarify any confusion I had.",0.5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0.112333365,0.0022792816,0.06302499,0.1146126466
528,95942012,"weaknesses","Labs were awkward at the beginning of the semester because you don't always know the people you're working with and it sometimes felt like you could never get the right answer that Dr. wanted you to. I did not like how grades were not posted to Moodle, it made it difficult to figure out where you stood in the class and how you were doing.",0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0.039226998,0.0009870529,0.018838953,0.0402140509
559,22383186,"weaknesses","The course is taught by a fossil with extremely dated views that he loves to insert into every conversation in this course. The lectures could put someone on coke to sleep and the videos we watch are worse.",0,0,0,0,1,1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0.3389984,0.008773804,0.34135336,0.347772204
566,29276608,"weaknesses","The course did not have a syllabus until after a few weeks and the writing assignments were graded at a grad school level. Additionally, there were no rubrics for any of the assignments and there were no guidelines to follow. It doesn't seem fair to grade harshly when there are no specific requirements. If you're going to give out a project with no details, no rubric, and no idea where you want us to go with it, respond to our emails and don't take a week off right before it's due. And if you're gonna do all that, don't take a dump all over the report we put together.",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.032627538,0.0010156631,0.017807651,0.0336432011
569,37575788,"weaknesses","Everything else. It was incredibly disorganized, and expectations were difficult to ascertain. We spent way too much time on some topics and only a couple classes on others that are arguably more applicable to the course. The tests were impossible to complete, as the amount of material per exam was overwhelming even for the most knowledgeable student in the class.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.022846194,0.0007343292,0.013402912,0.0235805232
585,20707542,"weaknesses","The class moves incredibly slowly, we were supposed to be covering information about the post WWII era at this point in the semester and instead we have not even touched the 20th century. Dr. also tends to wander. He cannot stay on topic and instead of teaching about, for example, the French Revolution, he will wander so far off topic to discuss his ideas on modern political, social, and societal issues like the covid-19 pandemic. I am not saying this because I disagree with his views, in fact, more often than not I agree with what he says, but I did not register for a class on my teacher's opinions. I did not get what I was told I was going to get out of this class, I found it to be insulting to the student body and a complete waste of my time, I would dread going to this class because I know that each day would be so slow and I would learn nothing of importance. I learned more from the few tutoring sessions with Noah Shaw that I attended than I did in the entire semester of Western Civ 2 that I attended.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,1,0.050821137,0.0014019012,0.025284592,0.0522230382
613,79460950,"improved","GIT RID OF THE BLANKS. Also don't take over a month to grade our papers next time. We know you are busy but delegate your work if you are overwhelmed so are the students. The paper doesn't facilitate any new learnings anyways.",0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.3308965,0.019611536,0.16195811,0.350508036
616,91242231,"improved","Get rid of Dr. . She is so disrespectful to todays patients it is sad. She even brought in her husband to show how much of a rude judgmental she is. All he talked about is how much he loves to judge patients and not actually help them remedy their pain. She showed her true colors this semester aside her husband, she is a terrible representation to professional nurses everywhere. She does not care about seeing students succeed it is almost like it is her duty to try and make students fail.",1,0.5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,3.5,0.39231625,0.014769804,0.42881694,0.407086054
659,24484518,"improved","If you want to improve interview skills, bring in local business people with experience in the arts that people do not know, as if we are meeting them for the first time and have them grade us. It is very difficult to take this course seriously when it is a group of professors that we have known for possibly 3+ years. The best way to get better at being in an interview is by being in more interviews, so subject people to ACTUAL interviews instead of these mock interviews with professors. It just makes it seem that much more _fake_. If it seemed like it were a real interview with someone outside of the university, or someone outside of the department, it would make this process much more realistic. Interview skills can make or break a job, but this course does not help interview skills, it is simply a joke that we are required to do to achieve an _S_ so that we can graduate.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,1,0.067380086,0.0012302399,0.032248367,0.0686103259
662,21560671,"improved","I think giving a bit more guidance to students when looking for answers during lectures would be helpful rather than what often comes off as a sort of rejection.",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.013634177,0.0005030632,0.008519882,0.0141372402
