row,quality_of_class,difficulty_of_class,class_code,college,prof_firstname,prof_lastname,comment
1,5.0,4.0, POLITSC4135,OHIO STATE UNIVERSITY,GREGORY,CALDEIRA,"The class was mostly lectures, if you take notes you will be fine. Exams primarily draw from the slides. Caldiera is a wonderful professor with a great sense of humor and interest in the topic he teaches."
2,1.0,5.0, 4135CONSTLAW,OHIO STATE UNIVERSITY,GREGORY,CALDEIRA,"Takes TopHat attendance (ends up being 15% of grade); uploads lectures online, but in a very confusing manner; exams are impossible as he asks for minute details briefly mentioned in slides."
3,3.0,4.0, POLISCI4135,OHIO STATE UNIVERSITY,GREGORY,CALDEIRA,"If you aren't considering law school, or you don't have an interest in the Supreme Court, DO NOT TAKE THIS COURSE. That said, Caldeira is brilliant and highly regarded, look at his CV. He's extremely kind and helpful in office hours. Lectures are rough, he will lecture AT you for 80 minutes without stopping. Read every case and BRIEF THEM."
4,3.0,5.0, 4135CONSTLAW,OHIO STATE UNIVERSITY,GREGORY,CALDEIRA,"Material is interesting, but there's a lot of it. Professor Caldeira makes pretty confusing Powerpoint slides that don't help much, and will sometimes breeze through confusing concepts without clarifying or connecting them to broader ideas. Read the text before lecture to get the most out of his class."
5,2.0,4.0, 4135CONSTLAW,OHIO STATE UNIVERSITY,GREGORY,CALDEIRA,Professor Caldeira's lectures might be the cure to narcolepsy. He definitely knows his material but has no idea how to convey it. His notes are filled with acronyms that you will have no idea what they stand for when you go to prepare for his exams. He also uses terms that he does not go over and assumes you know what he's talking about.
6,1.0,5.0, 4135,OHIO STATE UNIVERSITY,GREGORY,CALDEIRA,"Worst polisci class I have taken at OSU. Like every1 says on here, multiple choice exams in which 1 word makes the difference if you get the ? right. Lectures, textbook, and online notes, are not helpful. attendance is a part of your grade (you will be board). If it was not for the curve, many students would end up with D's and F's. AVOID HIM!!!!!!"
7,2.0,5.0, 4135,OHIO STATE UNIVERSITY,GREGORY,CALDEIRA," The material was tough, the lectures were not helpful at all but attendance is mandatory. He takes attendance on this website that you have to pay $20 for. The 3 exams, which make up your course grade, are extremely tough. Sometimes one word can be the difference between a right and wrong answer. Textbook not necessary. Make study guides of cases."
8,1.0,5.0, 4135,OHIO STATE UNIVERSITY,GREGORY,CALDEIRA,"Worst class I have ever taken. Clearly knows his stuff,but can't communicate that with the average student. He's also a law school prof and teaches the class like we're all about to pass the bar tomorrow. To pass an exam is to have an angel on your side. Do yourself a favor and pick a different class, or drop while you still have time."
9,1.0,5.0, 4135,OHIO STATE UNIVERSITY,GREGORY,CALDEIRA,"As an aspiring law student, his tests are multiple choice and extremely unpractical. Exams are on Carmen, which tends to glitch and mess up your answers. It gives you no room to make your case like an actual law exam. He uses this STUPID attendance taking software called Tophat that you'll waste $20  on.  Don't waste time. Find a better class. "
10,1.5,4.0, 4135CONSTLAW,OHIO STATE UNIVERSITY,GREGORY,CALDEIRA,"Terrible professor in a sense that he is VERY BORING. Exams are open booknotes, but WATCH OUT ! He'll put a lot of questions with: A,B,C,D, All of the above, none of the above, BC, AD? the answers will sometimes come down to a single word that makes the difference. Unless you plan on going to law school, there is no benefit in taking this course. "
