row,quality_of_class,difficulty_of_class,class_code,college,prof_firstname,prof_lastname,comment
1,2.0,2.0, BUSML4201,OHIO STATE UNIVERSITY,CURTIS,HAUGTVEDT,"Curtis cares more about what you learn rather than grades. His exams are pretty easy and he is not a tough grader. With that being said, his lectures are not helpful as he gets off topic in every one and he just reads off the slides in his online videos. There's really no way around reading the textbook. He does care about his students tho. "
2,3.0,4.0, BUSML4201,OHIO STATE UNIVERSITY,CURTIS,HAUGTVEDT,"His lectures are exceptionally pointless, you will still have to watch online lectures, hours of tedtalks, and write discussion posts. Exams are pulled directly from quizlet's so study those. Once i found those I got 100% on every exam. Also have a 15 page paper that just requires effort."
3,2.0,3.0, BUSML4201,OHIO STATE UNIVERSITY,CURTIS,HAUGTVEDT,"This class consists of the option between weekly discussion posts or a 15 page paper due at the end of the semester, weekly quizzes, and a few exams. Curtis lectures about random things instead of the actual graded material during lectures, while also pushing questionable political narratives within the course material. "
4,5.0,2.0, BUSML4201,OHIO STATE UNIVERSITY,CURTIS,HAUGTVEDT,A lot of people who don't like this class are people who like being spoon-fed their education. Haugtvedt is extremely intelligent and chooses to focus on more real life examples in lectures. I learned soft skills of critical thinking and drawing my own conclusions from the text/ news about marketing and CB. Don't take this class for granted!
5,1.0,3.0, MARKETING4232,OHIO STATE UNIVERSITY,CURTIS,HAUGTVEDT,"Specifically for branch campus students, he is the absolute worst. He doesnt care about the other campuses at all. Your grade depends one one group project that hell give little feedback for. Its required though, so best of luck"
6,1.0,3.0, BUSML4252,OHIO STATE UNIVERSITY,CURTIS,HAUGTVEDT,He uses class time to discuss anecdotes from his personal life/family/students problems without relating it to course material. The final/only exam is over the book and slides which we don't use except for them being available on carmen. You have to read/study the material on your own in order to learn about public policy or social marketing.
7,5.0,1.0, BUSML4201,OHIO STATE UNIVERSITY,CURTIS,HAUGTVEDT,Easiest class ever taken discussion posts but have whole semester to complete Everyone tries really hard on the first few and write novels Wait a few weeks in and people will be writing less Even replies count eightteenpage paper but b s ing works Presentation but you can do it online Exams must watch videos questions worded easy easiest a
8,4.0,2.0, BUSML4201,OHIO STATE UNIVERSITY,CURTIS,HAUGTVEDT,"Tests are so easy just read over the slides and know definitions from book (only 3 exams). Instead of class on Friday he has ""Internet Friday"" where he posts videos for you to watch. Requires 3 discussion posts a week (don't procrastinate). Only downside is the 18 page paper. Lectures are basically him telling stories about his life. No homework."
9,2.0,2.0, ML4201,OHIO STATE UNIVERSITY,CURTIS,HAUGTVEDT,Class is almost entirely based off of Ted talks and his own anecdotes. Interesting guy who obviously cares a lot about consumer behavior but has little actual teaching ability mainly due to the fact that he is constantly cancelling class.
10,5.0,2.0, BUSML4201,OHIO STATE UNIVERSITY,CURTIS,HAUGTVEDT,"This class includes participation, 45 discussion posts, 3 exams, and an 18-20 page APA style paper. Don't procrastinate on discussion posts, exams almost exclusively cover bolded definitions from the book and class PPTs, and the paper is over a topic of your choice (easy grader). Professor Curtis is a very nice, caring, and knowledgeable teacher."
