row,quality_of_class,difficulty_of_class,class_code,college,prof_firstname,prof_lastname,comment
1,2.0,5.0, SOC3302,OHIO STATE UNIVERSITY,CHRIS,PAPALEONARDOS,"I took this class thinking it would be a normal asynchronous gen ed class, but Dr. P made the exams INCREDIBLY difficult, referencing exact quotes he made in 3 1/2+ hour lectures and readings and making the exams closed note. The average grades on midterm/final were below 65%, yet he refused to change anything when I addressed this issue. DONT TAKE"
2,1.0,3.0, SOC1101,OHIO STATE UNIVERSITY,CHRIS,PAPALEONARDOS,This course is online and the overall workload is very easy. The midterms however are horrible and the timing is simply not fair. The study guides before the test are truly a waste of time and I would recommend the other online sociology teachers. I did not learn one thing. 
3,4.0,2.0, SOC1101,OHIO STATE UNIVERSITY,CHRIS,PAPALEONARDOS,"Dr. Papaleonardos' lectures were interesting, but sometimes dry or redundant. There was a lot of work to do, but it wasn't too difficult. I rented a textbook for this course which was helpful, but not entirely necessary (though there were a few quiz questions that asked for definitions from the textbook). "
4,1.0,4.0, SOC3597,OHIO STATE UNIVERSITY,CHRIS,PAPALEONARDOS,"The study guides he gives are useless. Read the chapters and the papers he assigns. Also, the end of semester project is important so put all your energy into that, he is looking for ridiculous info especially in the paper.
Don't bother emailing him, he will take a pic of your email and post it to the discussion board and answer it that way."
5,2.0,3.0, SOC1101,OHIO STATE UNIVERSITY,CHRIS,PAPALEONARDOS,This course had a TON of reading involved. (I read NONE of it and still did alright because of quizlet). The exams were very hard and you have to move fast. 
6,4.0,3.0, SOCIOL3302,OHIO STATE UNIVERSITY,CHRIS,PAPALEONARDOS,"Good professor, exams are very specific and cover ALL assigned materials, make sure you review them very carefully. Content is interesting and fun to engage with, so reviewing all the materials really isn't that bad an experience. Be prepared to set aside a good amount of time to really pay attention to the reading and videos and you'll be fine."
7,3.0,3.0, SOCIOL3302,OHIO STATE UNIVERSITY,CHRIS,PAPALEONARDOS,"Interesting content, not a bad professor imo. Course covers a lot of content, read/watch everything assigned bc. it will definitely appear on the exams. My advice: carefully rewatch each lecture before taking the test, majority of questions come from the video lectures. You need to know your stuff really well to do well, but it's not a bad class."
8,2.0,2.0, SOC236701H,OHIO STATE UNIVERSITY,CHRIS,PAPALEONARDOS,"One of the slowest graders I have ever had at any level of schooling. I'll probably get an A in the class, but it's hard to say for sure, since over a quarter of our points are not in yet. He says that we are scored on participation, but did not know our names or take attendance until the last day. Incredibly easy grader, but a dry lecturer."
9,4.0,2.0, 236701H,OHIO STATE UNIVERSITY,CHRIS,PAPALEONARDOS,"This class was dry but educational. The lectures were most interesting when he drew from personal experience, but overall were pretty generic. The books were well worth my time and I enjoyed reading/discussing them. He isn't a difficult grader so if you read the books and put some effort in you'll be fine. Make sure to take good notes in class."
10,2.0,4.0, SOC1101,OHIO STATE UNIVERSITY,CHRIS,PAPALEONARDOS,"The lectures are uncomfortable, I’m a social work major and found myself being offended by some of his material. Referred to women’s bodies in an uncomfortable manor. The course is easy overall, you don’t need to attend class to do okay on web assignments and mid term."
11,4.0,3.0, SOC236701H,OHIO STATE UNIVERSITY,CHRIS,PAPALEONARDOS,"Assigns lots of reading and papers, which is to be expected from a second writing course. Lectures were usually dry but when he drew from his personal experience they improved. Very knowledgeable about politics and current events. Gives little feedback but did not grade too harshly. Most readings were engaging and applicable to modern times."
