row,quality_of_class,difficulty_of_class,class_code,college,prof_firstname,prof_lastname,comment
1,5.0,1.0, 5600,OHIO STATE UNIVERSITY,TERRY,PETTIJOHN,"Great person, fairly lenient grader. Highly recommend."
2,5.0,3.0, PSY300,OHIO STATE UNIVERSITY,TERRY,PETTIJOHN,Dr. Pettijohn is a big teddy bear. He really cares about his students. His classes are informative and fun. You will learn a lot.
3,5.0,1.0, PSYCH5600,OHIO STATE UNIVERSITY,TERRY,PETTIJOHN,Great guy. Very lenient grader. But you have to know SOMETHING to get points. Take all of his classes. He rocks!
4,4.0,3.0, PSYCH,OHIO STATE UNIVERSITY,TERRY,PETTIJOHN,He had a great sense of humor and had great class discussions.
5,5.0,2.0, PSYCH1100,OHIO STATE UNIVERSITY,TERRY,PETTIJOHN,Very nice teacher and helpful overall!  I would definitely recommend him to anyone taking any psychology classes.
6,5.0,3.0, PSYCH101,OHIO STATE UNIVERSITY,TERRY,PETTIJOHN,fabulous amazing teacher. you know what to expect each and every time you come into the classroom! He is a legend here at OSUM
7,5.0,5.0, PSYCH100,OHIO STATE UNIVERSITY,TERRY,PETTIJOHN,"Wow! Fantastic class! Enjoyed lectures, clear, relevant, interesting. Nice person, caring, kind, considerate."
8,5.0,3.0, PSYCH367,OHIO STATE UNIVERSITY,TERRY,PETTIJOHN,wow take his class
9,2.5,5.0, PSYCH100,OHIO STATE UNIVERSITY,TERRY,PETTIJOHN,didnt seem to care about individual students. cared more about just getting his job done
10,4.5,5.0, PSYCH100,OHIO STATE UNIVERSITY,TERRY,PETTIJOHN,"Best prof I have every had in college. Cares about students. Difficult tests, but relevant, and if you do the work, you will do fine in his classes. Great sense of humor. Makes learning fun."
11,5.0,1.0, PSYCH100,OHIO STATE UNIVERSITY,TERRY,PETTIJOHN,"VERY EASY CLASS! Dont buy the book you won't need it if you pay attention in class. 5 short tests not comprehensive midterms or finals VERY EASY, I skipped class like twice a week, never bought the book, and still got an A"
12,5.0,1.0, PSYCH100,OHIO STATE UNIVERSITY,TERRY,PETTIJOHN,"Great class!  It's really easy and you actually learn, too!"
13,5.0,2.0, PSYCH367,OHIO STATE UNIVERSITY,TERRY,PETTIJOHN,Very good classes.  Interesting and informative. Very straight forward with material.  Great character!
14,5.0,1.0, PYSCH100,OHIO STATE UNIVERSITY,TERRY,PETTIJOHN,probably the easiest college class i have ever taken...ever...just go to class and study what he tells you to
15,5.0,2.0, PSYCH300,OHIO STATE UNIVERSITY,TERRY,PETTIJOHN,Very time consuming but assignments not graded to difficult.
16,5.0,2.0, PSYCH,OHIO STATE UNIVERSITY,TERRY,PETTIJOHN,No Comments
17,5.0,2.0, PSYCH100,OHIO STATE UNIVERSITY,TERRY,PETTIJOHN,No Comments
