row,quality_of_class,difficulty_of_class,class_code,college,prof_firstname,prof_lastname,comment
1,5.0,3.0, SOC4609,OHIO STATE UNIVERSITY,TOWNSAND,PRICE-SPRATLEN,"Dr. Price-Spratlen is great. He's passionate and energetic, he's incredibly kind and incredibly smart. He teaches you how to think instead of what to think. I felt moved more than once during his lectures. He's difficult to follow though. Don't be afraid to ask for clarification. And don't bother emailing - just knock right on his office door."
2,1.0,3.0, SOC4609,OHIO STATE UNIVERSITY,TOWNSAND,PRICE-SPRATLEN,"This man is a passionate educator, however his lectures are regularly rambling sessions where you're never sure if the things he randomly writes on the chalkboard are testable material. Good luck studying your notes, because his slideshows make no sense, aren't descriptive, and he unnecessarily abbreviates words. Do NOT take a class with this man."
3,4.0,3.0, SOC101,OHIO STATE UNIVERSITY,TOWNSAND,PRICE-SPRATLEN,Hes a little all over the place but overall he was inspiring and a cool professor. East class
4,4.0,3.0, SOC1101,OHIO STATE UNIVERSITY,TOWNSAND,PRICE-SPRATLEN,Dr. Price-Spratlen is a really nice guy who teaches a pretty interesting course. I took this class as a GE and was really intrigued by the information. He is very passionate about the subject and keeps you engaged. Assignments and exams are pretty straight forward if you show up and review presentations that he posts online.
5,5.0,3.0, SOC2367,OHIO STATE UNIVERSITY,TOWNSAND,PRICE-SPRATLEN,"Dr. Price-Spratlen was one of the most passionate educators I had the privilege of learning from during my 4 years at Ohio State. The course I took with him was just a GE and had nothing to do with my major, yet it was one of my favorite classes. He is a truly inspirational teacher and one of the best professors I have ever had."
6,4.0,3.0, SOC1101,OHIO STATE UNIVERSITY,TOWNSAND,PRICE-SPRATLEN,"He is honestly a great professor! He is definitely very sporadic and tends to go on tangents, but he definitely knows what he is talking about and keeps you awake and interested during class. The first half of the class uses a free online textbook, but you need to purchase his book for the second half (cheap). Overall good class; I would recommend!"
7,1.0,3.0, SOC1101,OHIO STATE UNIVERSITY,TOWNSAND,PRICE-SPRATLEN,Great guy over all but I would never in my entire life tell someone to take his class. You'll want to pull your hair out every class. His intricate vocabulary and nonsensical demeanor will drive you insane. He makes you buy a textbook he wrote which pissed me off.  His slides make zero sense so good luck studying!
8,1.0,2.0, SOC4609,OHIO STATE UNIVERSITY,TOWNSAND,PRICE-SPRATLEN,"some of the worst lectures I have had to sit through in my entire life. He talks about the most irrelevant information. He is a scatter brained loon who should not teach a class. Makes you buy a book that he wrote, are you kidding me?  Do not take this class if you can avoid. He is a nice guy and it is an easy A, but will drive you insane all term"
9,3.5,1.0, SOC1101,OHIO STATE UNIVERSITY,TOWNSAND,PRICE-SPRATLEN,"You just show up for lecture, and have two tests and homework assignments. Participation is a big thing. He tends to not be so clear, because he side tracks a lot."
10,4.0,3.0, SOC3467,OHIO STATE UNIVERSITY,TOWNSAND,PRICE-SPRATLEN,"Townsand is great, but you won't like his class if you're not serious. He's a passionate and vastly intelligent instructor that doesn't dumb his material down. He has a tendency to lecture in dense academic jargon that can make simple concepts seem complicated. However, he is very kind and helpful. Expect class participation and to work in groups."
