row,quality_of_class,difficulty_of_class,class_code,college,prof_firstname,prof_lastname,comment
1,3.0,3.0, PSYCH4501,OHIO STATE UNIVERSITY,KRISTIN,SUPE,"Pros:Is an engaging lecturer and assignments are reasonable. 
Cons:Believes she is more accommodating than she is. Students are able to turn in homework or quizzes three days late twice, not the worst extension policy, but she frames it as being so understanding even though three days is not a lot of time when you're really going through it. 
"
2,5.0,3.0, PSYCH4501,OHIO STATE UNIVERSITY,KRISTIN,SUPE,"I would recommend taking Dr. Supe for an upper level neuro class! She is really fun and assignments are pretty easy. Three group projects throughout the semester, but all very manageable. She's very accessible outside of class and fair grader with clear expectations. "
3,5.0,4.0, PSY3313,OHIO STATE UNIVERSITY,KRISTIN,SUPE,"She is so awesome she made me switch to neuro, she is hilarious so passionate about her subject and a super engaging and sympthetic professor. I would normally hate a professor if I didn't get an A but I just cant hate her she is an awesome lecturer and makes the material funny and engaging. I'd recommend her to anyone!"
4,5.0,2.0, PSY3313,OHIO STATE UNIVERSITY,KRISTIN,SUPE,"Extremely well set up online course. Sends out weekly reminders and wants students to do well. Wants to get to know you when you drop by office hours. If you watch all the lectures, it is pretty easy to get an A. Be prepared to spend about 10-20 hours watching lectures per week, though."
5,5.0,2.0, PSYCH4501,OHIO STATE UNIVERSITY,KRISTIN,SUPE,"Great prof, she's an excellent teacher. Great at breaking down complex topics and approaching potentially sensitive topics thoughtfully and respectfully. This class was group-project heavy, but it's full of overachieving neuro majors, so you should be fine. There is an emphasis on the real-world application of knowledge and science communication."
6,1.0,5.0, PSYCH3313,OHIO STATE UNIVERSITY,KRISTIN,SUPE,I would recommend taking this class because its really hard. The teacher is nice but you will most likely struggle.  
7,5.0,5.0, PSYCH3313,OHIO STATE UNIVERSITY,KRISTIN,SUPE,"Amazingly knowledgeable and informative. Notoriously difficult core class, wasnt so hard online and asynchronous but not sure if it asynchronous still"
8,5.0,2.0, PSYCH4501,OHIO STATE UNIVERSITY,KRISTIN,SUPE,"I had Dr. Supe for both PSYCH3313 and again for PSYCH4501, and she is just as wonderful. This class is themed around sleep and the brain, and there are no exams -- just three group projects and weekly Carmen quizzes. She cares a lot about the wellbeing of her students and is one of the most understanding professors I've had at OSU."
9,4.0,4.0, PSYCH3313,OHIO STATE UNIVERSITY,KRISTIN,SUPE,"Dr. Supe is a very kind lecturer, and I enjoyed Behavioral Neuro! The notes are extremely long, however, and tests are difficult with little time to complete. If you are struggling, Dr. Supe is a great person to access and is understanding. The coursework is very time consuming, but if youre interested in the topics then its really not horrible."
10,5.0,2.0, PSYCH3313,OHIO STATE UNIVERSITY,KRISTIN,SUPE,"Phenomenal professor. She really understands her students. Class was very organized and consisted of two assignments, a quiz and a video essay each week. The quizzes come straight from the PPT, the video essays are very simple and are only like a minute long. The assignments can be reading research papers to doing infographics. Cool class too!"
11,4.0,4.0, PSY3313,OHIO STATE UNIVERSITY,KRISTIN,SUPE,"Her class was the most challenging one I've taken as a psych major, but it got better later in the semester. Most of the content was learned from the lectures, which could get lengthy. Textbook was optional. Homework/discussions were pretty easy. Biweekly quizzes were worth many points and could be stressful because of time constraints."
