row,quality_of_class,difficulty_of_class,class_code,college,prof_firstname,prof_lastname,comment
1,2.0,3.0, POLISCI4331,OHIO STATE UNIVERSITY,ALEXANDER,THOMPSON,"Even though the class isn't assignment-heavy, the tests are pretty brutal. The exams are taken online. I wish we had more time to get them done. This isn't an easy A, btw. If you're looking for that, don't take the class. "
2,4.0,3.0, POLITSC4331,OHIO STATE UNIVERSITY,ALEXANDER,THOMPSON,"Great guy, very knowledgeable & approachable. Lectures r interesting. Provides lecture outlines, but exams will be hard if u don't go to class & take notes. Grade is determined by 3 exams & 1 paper. Paper is easy. Content on exams is easy, MC and ID terms/SA, but very time constrained. Do the readings bc u need to cite them on the exam. Fair class"
3,5.0,2.0, 4331,OHIO STATE UNIVERSITY,ALEXANDER,THOMPSON,Dr.Thompson is humble instructor and an approachable instructor. He explains everything clearly and makes class entertaining. He is happy to answer questions and give clear feedback. 
4,5.0,3.0, POLITSC4335,OHIO STATE UNIVERSITY,ALEXANDER,THOMPSON,"Professor Thompson knows a lot about what he teaches and is genuinely interested in it, which makes him an excellent teacher. Talk with him when you get the chance, he's friendly and can be very helpful. Show up and take good notes on the slides and you'll do fine."
5,5.0,3.0, POLITSC4335,OHIO STATE UNIVERSITY,ALEXANDER,THOMPSON,"Dr. Thompson was an excellent instructor. The material was interesting, and he let us apply it to real life. The work was reasonable but make sure that you do well on his midterm and final exams as there are not too many grades in the course. The professor is also very friendly and approachable, so don't be scared to contact or visit him during off"
6,4.0,3.0, POLITSC4331,OHIO STATE UNIVERSITY,ALEXANDER,THOMPSON,"3 exams and a paper, each worth 25%. You have to know your stuff for the exams because he only gives you 50min for 30 multiple choice and 2 short answer questions . You can tell he really enjoys teaching. This makes his lectures entertaining. However, he was prone to getting off topic by answering questions. Lastly, the readings were long and dull."
7,5.0,2.0, POLITSC4335,OHIO STATE UNIVERSITY,ALEXANDER,THOMPSON,"I recommend this teacher for everyone to take. He is very nice and is easy to talk to. However, you're not graded on too many things so you have to do well on the exams, but overall not that hard of a class to pass and get a good grade in."
8,5.0,2.0, POLISCI4331,OHIO STATE UNIVERSITY,ALEXANDER,THOMPSON,Professor Thompson was great this semester. His lectures are PowerPoint led and he explains the main points in the lecture. Study powerpoints for tests and youll pass easily.. attendance isnt mandatory but he does discuss some things on test in class
9,5.0,2.0, POLISCI4331,OHIO STATE UNIVERSITY,ALEXANDER,THOMPSON,"Super funny and knowledgable guy. Took him for UN Systems 4331 and Environmental Politics 4335 and they were both very informative. I didn't always read the textbook, but he does have some of that material built into his exams. Helpful powerpoints though, so if you study those you'll do fine. You have to attend to understand them though!"
10,3.0,3.0, POLISCI4331,OHIO STATE UNIVERSITY,ALEXANDER,THOMPSON,"Three exams and a paper. No final, and the exams aren't cumulative. Also if you do well on half the exams and the paper, he will probably curve your grade. Mine was curved from a B+ to an A-. Also offers extra credit on your final grade."
11,5.0,2.0, PS4331,OHIO STATE UNIVERSITY,ALEXANDER,THOMPSON,"Prof. Thompson is great, funny & approacable. There are 3 noncumulative exams and a paper. Exams are MC & then 3 ID terms you write about in detail. Readings show up on the exam but you only need to know the main arguments made in each! DO take if you have an IR focus. Only wish there were study guides for the exams. Other than that I learned alot!"
