row,quality_of_class,difficulty_of_class,class_code,college,prof_firstname,prof_lastname,comment
1,5.0,4.0, SOC2209,OHIO STATE UNIVERSITY,DEBORAH,WILSON,"The bad reviews are likely from people who didn't go to class and didn't put the time in. Although attendance technically isn't mandatory, you HAVE to go to class to get the notes and content. She is an amazing professor- her lectures are great and she is very eager to help. Very sweet lady. Put the time in, and you will get a good grade! "
2,4.0,4.0, SOC3410,OHIO STATE UNIVERSITY,DEBORAH,WILSON,"I thought this class was really interesting, and Deb did a great job making it fun and engaging. I won't lie, this is one of the hardest classes I've taken at OSU, and Deb is a really strict grader. You have three assignments, quizzes, and tests for the entire semester so you basically have to do well on all of them if you want a good grade. "
3,5.0,3.0, SOCIOL2209,OHIO STATE UNIVERSITY,DEBORAH,WILSON,"I love Prof. Wilson, and she is my favorite professor at osu. She is an engaging lecturer and very knowledgeable. Those who say that the class is too difficult are definitely first semester freshman who don't how college works yet or people who want gimme A's. The class takes a little (emphasis on little) effort but is so worth it."
4,5.0,3.0, 2209,OHIO STATE UNIVERSITY,DEBORAH,WILSON,"I loved Deb so much. This class was not easy, but it was so interesting. You will have to put in a lot of work, but because of Deb I fell in love with the content and wanted to do the work. I actually changed my major only a few weeks after taking this course, it's amazing. Deb is probably my favorite professor I have ever had. "
5,5.0,5.0, 3410,OHIO STATE UNIVERSITY,DEBORAH,WILSON,"Dr. Wilson is not the professor you want to take for an easy A, but if you genuinely want to learn, she is perfect. Her lectures were never boring. This class is a lot of work and I would not recommend going in expecting an A because you'll likely be disappointed, but the amount I learned from this class made it so worth it!"
6,5.0,3.0, 2209,OHIO STATE UNIVERSITY,DEBORAH,WILSON,"I absolutely loved Dr. Wilson. Her lectures were interesting and engaging, but the class is graded by few things. However, if you go to class, take good notes, and put in effort on the homeworks/tests/quizzes you will do good. She cares about her students and is always willing to answer any questions I have. She is one of the best teachers/profs."
7,5.0,4.0, 2209,OHIO STATE UNIVERSITY,DEBORAH,WILSON,"Do not be fooled by the other reviews. Deb is an incredible professor and gets a bad rap from kids who are not willing to put in the work to do well in her class. Go to class, take good notes, don't wait until the last minute to study or do the homework and you will do fine. She truly is one of the best professors in the sociology department."
8,2.0,5.0, SOC2209,OHIO STATE UNIVERSITY,DEBORAH,WILSON,"The fact that this is an ""intro"" class is incredibly misleading. This was by far the most difficult class I've taken to date. Her lecture slides are basically useless, so you have to pay attention to every single word she says or you might miss something. Grades EXTREMELY hard on homework assignments and quizzes. Honestly, steer clear at all costs."
9,1.0,5.0, 2209,OHIO STATE UNIVERSITY,DEBORAH,WILSON,By far the worst professor for an intro class. Exams and quizzes don't match the presentations and lectures. Avoid her at all cost.
10,4.0,3.0, SOCIOL2209,OHIO STATE UNIVERSITY,DEBORAH,WILSON,"Professor Wilson was a great teacher. She is highly knowledgeable and enthusiastic during her lectures and seems to be very down to earth. However, if you are taking this class, please do not discount the homework assignment and quizzes. She is a tough grader, and lecture is not mandatory, it is highly recommended! Do the assigned readings! "
