row,quality_of_class,difficulty_of_class,class_code,college,prof_firstname,prof_lastname,comment
1,5.0,1.0, POLI203,UNIVERSITY OF NORTH CAROLINA,FRANK,BAUMGARTNER,"This class was extraordinary!  Definitely one of the best classes to take at UNC!  Very eye-opening and inspiring.  Class was structured well.  Reading quizzes can be hit or miss, but they're open note and mostly easy.  Short essays were graded easily, and the final term paper was not bad.  Final exam was basically a mix of old reading quizzes."
2,5.0,2.0, POLI203,UNIVERSITY OF NORTH CAROLINA,FRANK,BAUMGARTNER,"Your grade is composed of weekly quizzes, recitation attendance and participation, attendance at speaker series (unc brought wrongfully convicted speakers for our class to hear) 4 short essays that were basically easy 100's, a final exam that was just the weekly quiz questions and a 7 page final paper. Overall 10/10 class, everyone should take it"
3,5.0,2.0, POLI203,UNIVERSITY OF NORTH CAROLINA,FRANK,BAUMGARTNER,I've loved my classes with Frank Baumgartner! He is super passionate about this class and cares more that we learn something rather than worrying about how to test us. Speaker series was interesting even though they were long and in the evening. His quizzes were exactly from the readings. TA grades papers and recitation attendance is mandatory.
4,5.0,2.0, POLI203,UNIVERSITY OF NORTH CAROLINA,FRANK,BAUMGARTNER,"Best class I've taken so far. The material is very important and Prof. Baumgartner delivers it well -- he really knows what he's talking about. And even though the subject matter is dark, it's still a fun class bc of his personality. There is an AMAZING guest speaker series w/ wrongfully convicted people. Homework isn't bad. 100% recommend!"
5,4.0,1.0, POLI203,UNIVERSITY OF NORTH CAROLINA,FRANK,BAUMGARTNER,"Really committed and passionate professor about the wrongs of the death penalty, but due to the structure of the large lecture, taught mostly by slides which was not engaging. Not a hard class, graded by lots of things, material isn't hard at all. "
6,5.0,2.0, POLI203,UNIVERSITY OF NORTH CAROLINA,FRANK,BAUMGARTNER,"Fbaum became a sort of cult legend in our class. He's funny, knowledgable, and structured. Some of the ideological bent did come through during the semester and little time is spent on victims or crimes, but the class was largely fascinating statistics and interesting anecdotes. A great way to get your US and SS credits. TAKE IT."
7,5.0,3.0, POLI203,UNIVERSITY OF NORTH CAROLINA,FRANK,BAUMGARTNER,"I was hesitant to take this class because I had no interest in poli sci, but this class is extremely interesting and illuminating about the death penalty in the US. It is one of the best classes you can take at Carolina. Baumgartner is an amazing professor as well. Take this! "
8,5.0,2.0, POLI203,UNIVERSITY OF NORTH CAROLINA,FRANK,BAUMGARTNER,Fbaum is awesome! I love this class and am learning so much. This class is awesome and will be unforgettable. I think everyone should take this class. I would take any classes taught by Fbaum. You can't go wrong here!
9,5.0,3.0, POLI203,UNIVERSITY OF NORTH CAROLINA,FRANK,BAUMGARTNER,"Life changing class and amazing professor. Important content that Frank makes very accessible to engage with, think about, and reflect. I recommend this class 1000% to any philosophy/political science major, or just any student in general who wants to dive into criminal justice."
10,5.0,3.0, POLI203,UNIVERSITY OF NORTH CAROLINA,FRANK,BAUMGARTNER,Frank is the coolest guy ever. I have taken 2 of his classes and he is so awesome. I have really learned a lot from him.
