row,quality_of_class,difficulty_of_class,class_code,college,prof_firstname,prof_lastname,comment
1,5.0,2.0, PSYC230,UNIVERSITY OF NORTH CAROLINA,VICKI,CHANON,"Dr. Chanon is amazing! She's so sweet, and she tries her best to get to know everyone in the class.  Content was fun, and all assignments were chill.  She has a nice grading system; you can drop lowest midterm and 2 HWs.  HW was graded nicely.  The final was easier compared to midterms/LCs.  Make sure to study a bit. We got 1 point EC for final."
2,5.0,3.0, NSCI225,UNIVERSITY OF NORTH CAROLINA,VICKI,CHANON,"I thought it was a tough class content-wise, especially compared to her PSYC 230 class. But, Dr. Chanon still has teaching down to a science and is an engaging lecturer. Her grading system is incredibly reasonable too, just make sure you really put in the work for the exams. The final is easy compared to them! "
3,5.0,3.0, NSCI225,UNIVERSITY OF NORTH CAROLINA,VICKI,CHANON,Every lecture was incredibly engaging and she taught the material really well. They were also recorded and posted if you missed a day. Really fair tests too.
4,5.0,3.0, NSCI225,UNIVERSITY OF NORTH CAROLINA,VICKI,CHANON,"She was such a caring professor and I rly want to take another class with her before I graduate! She learned everyone's names (and our class is over 100 people)!! It's a lot of material, but she makes it manageable for sure!"
5,5.0,2.0, PSYC230,UNIVERSITY OF NORTH CAROLINA,VICKI,CHANON,"Dr. Chanon is my favorite professor so far at UNC. She cares so much about her students and responds to emails very quickly. Her grading system is very forgiving. Her exams are very straight forward. Plus, she practically does reviews every day. She also makes the lectures interesting by making what we learned relatable. Highly recommend!!! "
6,5.0,4.0, PSYC230,UNIVERSITY OF NORTH CAROLINA,VICKI,CHANON,"Professor Chanon is one of the best professors ever. She learned all her ~100 students' names within the first few weeks of class. Her lectures are well-organized, engaging, and fun. Cognitive Psychology requires lots of memorization, but she makes it durable for her students. I have so many good things to say about her. Highly recommend!"
7,5.0,3.0, PSYC230,UNIVERSITY OF NORTH CAROLINA,VICKI,CHANON,I loved this course! The content was interesting and Dr. Chanon is an amazing lecturer! She really wants all her students to succeed. She was more than fair with all assignments. The workload was manageable. I recommend this class to anybody. 
8,5.0,2.0, PSYC230,UNIVERSITY OF NORTH CAROLINA,VICKI,CHANON,Dr. Chanon is one of the best professors at UNC. She is positive and encouraging toward her students and clearly wants to see everyone succeed. Her tests are pretty straightforward and the posted recorded lectures are great for studying. She was super understanding and flexible with attendance and assignment grading.
9,5.0,2.0, PSYC230,UNIVERSITY OF NORTH CAROLINA,VICKI,CHANON,"Professor Chanon is really kind and caring. The material wasn't that bad, but she teaches it very well. There are 3 exams but 1 is dropped, and they are pretty easy. As long as you pay attention in class and do the assignments, you will get an A."
10,5.0,2.0, NSCI225,UNIVERSITY OF NORTH CAROLINA,VICKI,CHANON,"Dr. Chanon is super sweet and she teaches the material very well. I felt like I actually learned a lot from her class. You have easy homework due every Friday, 3 exams (1 is dropped), and a few quizzes but you can use your notes. The material is a little hard, but she explains in very well. Tests are fair. "
11,5.0,3.0, NSCI225,UNIVERSITY OF NORTH CAROLINA,VICKI,CHANON,"I loved Dr. Chanon! She's super passionate about neuroscience and she was always ready to answer our questions. The workload was very manageable and the tests were fair. She cares a lot about her students and consistently updates us about the class. Make sure to keep up with the content! Definitely take this class with Dr. Chanon, she's the best! "
12,5.0,3.0, PSYC230,UNIVERSITY OF NORTH CAROLINA,VICKI,CHANON,One of the best at UNC! The way she set up her class was perfect. I feel like I genuinely learnt a lot from the class- the material stuck all semester. Content is cool and she gives great lectures. The 3 tests are kinda challenging but you drop one and the final is easy in comparison. You can miss up to 6 classes without penalty but should catch up
13,5.0,2.0, PSYC230,UNIVERSITY OF NORTH CAROLINA,VICKI,CHANON,Professor Chanon is a great professor. Textbook was not required for the course and lectures covered all the material that we were tested on. Chanon made this course very stress free and her learning checks were great preparation for the final. She sets this class up for your success and it is easy to pass if you put in the effort!  
14,5.0,3.0, PSYC230,UNIVERSITY OF NORTH CAROLINA,VICKI,CHANON,"Dr. Chanon is so incredible it makes me emotional. In a way, I literally felt like her office was a safe space for me because of how caring and helpful she was. She has kids which I think helps her have even more of a heart for college students & their well-being. Her lectures are amazing, the class is very organized, and she is so accessible! "
15,5.0,2.0, PSYC330,UNIVERSITY OF NORTH CAROLINA,VICKI,CHANON,"Dr. Chanon is super sweet. The class was not super difficult so long as you study (especially for the learning checks!) The unique part of this class is the UX BeAM project, which while tedious at times was pretty cool to do. There is pretty regular homework, but you don't necessarily have to read the book. Be sure to study the learning goals! "
16,5.0,1.0, NSCI222,UNIVERSITY OF NORTH CAROLINA,VICKI,CHANON,"She was great! It was online and asynchronous, but I still felt very engaged with the class. She also made the material super easy to understand. I have no complaints about her or this class!"
17,5.0,2.0, NSCI225,UNIVERSITY OF NORTH CAROLINA,VICKI,CHANON,"Professor Chanon is funny and so relatable. She is also very caring. Her exams are easy and she accommodates her students well. I would without a doubt take more classes with her, she makes the content very interesting and has her students engage in a way that actually helps.The class content is hard at times but her exams are easy and minimal work"
18,5.0,2.0, NSCI225NSCI225,UNIVERSITY OF NORTH CAROLINA,VICKI,CHANON,"Dr. Chanon truly gives students all the guidance and materials we need to succeed in her class. Her class is well organized, you have decent cushioning for your grades, and most importantly, she's a great lecturer and is really good at breaking down concepts in easy to understand language."
