row,quality_of_class,difficulty_of_class,class_code,college,prof_firstname,prof_lastname,comment
1,5.0,2.0, POLI150H,UNIVERSITY OF NORTH CAROLINA,MARK,CRESCENZI,"Easily one of the best professors I've had at UNC. Assigned readings are important and coincide with homework assignments, but pretty easy grader and the activities help to understand class content. Lots of class discussion, he really cares about his students and respects what they have to say. If you can get into a class with him, take it!"
2,3.0,3.0, POLI150H,UNIVERSITY OF NORTH CAROLINA,MARK,CRESCENZI,"This class was alright. It wasn't my favorite, but I didn't hate it. The class has a ton of reading and several papers that you'll have to finish in a night or two. Most classes are lecture heavy, but you do a couple of fun interactive activities. The prof is super understanding and kind, the material is just not my favorite."
3,5.0,2.0, POLI150H,UNIVERSITY OF NORTH CAROLINA,MARK,CRESCENZI,"Crescenzi was awesome. Easily one of the best professors at UNC. Seriously, any class you can take with him, take it. You can tell he genuinely loves teaching and cares for his students. Felt really out of depth going into this course but felt fully prepared for the exams just from readings/class discussions"
4,5.0,3.0, POLI150H,UNIVERSITY OF NORTH CAROLINA,MARK,CRESCENZI,"Professor Crescenzi is one of the best professors I've had! He is so caring, funny, and engaging in class. His deep knowledge and wide range of experience in international politics make his lectures very interesting. He is a very easy grader, but just be prepared to write a lot of essays. I know he loves helping students find opportunities, too!"
5,5.0,2.0, POLI150,UNIVERSITY OF NORTH CAROLINA,MARK,CRESCENZI,"Professor Crescenzi is the best. His course was very well adapted to the pandemic, he's understanding of all perspectives, and gives room to express your own beliefs and thoughts freely. The course structure was mostly asynchronous and super flexible. The grading seems TA dependent but his TA's are awesome. Take this class!"
6,5.0,3.0, POLI150,UNIVERSITY OF NORTH CAROLINA,MARK,CRESCENZI,Professor Crescenzi is one of the best professors I've had at UNC. He really cares about his students and the course material. He was really understanding with the pandemic and tried to accommodate the class with the needs of students. I highly recommend taking a course with him if you can.
7,5.0,2.0, POLI150,UNIVERSITY OF NORTH CAROLINA,MARK,CRESCENZI,"Professor Crescenzi is an underrated teacher at UNC. Was understanding of the situations of students during the pandemic and took it into account throughout the semester with syllabus adjustments. Lectures were rather interesting as he often tied it to current events. All assignments are graded by your TA, so the experience can vary by recitation."
8,5.0,2.0, POLI150,UNIVERSITY OF NORTH CAROLINA,MARK,CRESCENZI,"Prof Crescenzi is one of the best professors I've had. He was very understanding and has done so much to make the learning experience more enjoyable and less stressful in light of the course going online due to covid. The class is fairly straightforward, and he makes the material super interesting and well spaced-out. Would definitely take again!"
9,5.0,2.0, POLI150,UNIVERSITY OF NORTH CAROLINA,MARK,CRESCENZI,"Prof. Crescenzi is the chair of the Political Science Department, and he is truly a gem. He is so kind, understanding, and down to earth. He wants students to succeed and will work with you to ensure you do. He is very well read and knowledgeable but is purposeful in making sure his students are receptive. I would definitely take his class again!"
10,5.0,3.0, POLI150,UNIVERSITY OF NORTH CAROLINA,MARK,CRESCENZI,Great Class! I love Professor Crescenzi. He did so good giving us the perfect introduction to international relations. I had this class online because of Corona. He was so caring and really helped all of us out. I loved this class!
11,5.0,2.0, POLI150,UNIVERSITY OF NORTH CAROLINA,MARK,CRESCENZI,"Prof. Crescenzi is one of the best I've had at UNC. He's SO incredibly kind and was extremely accommodating with COVID. He's passionate about what he teaches and genuinely cares about students. Class consisted of a midterm, final, and 8 one-page writing assignments graded by your TA. Take a class with Crescenzi if you can!!!"
