row,quality_of_class,difficulty_of_class,class_code,college,prof_firstname,prof_lastname,comment
1,5.0,3.0, NEURO175,UNIVERSITY OF NORTH CAROLINA,MONICA,GAUDIER-DIAZ,"Professor Gaudier-Diaz was the best professor I had my entire first year at UNC. While the readings assigned for the class are dense and hard to process sometimes, she does a spectacular job of making clear what she wants you to know in lectures. 
Also -- attendance isn't mandatory, but it made all the difference in keeping my grade high. Show up!"
2,4.0,4.0, NSCI439,UNIVERSITY OF NORTH CAROLINA,MONICA,GAUDIER-DIAZ,"Dr. Gaudier-Diaz's lectures were interesting and I thought her projects really enhanced my learning. My only complaint with her lectures is you have to write absolutely everything down because her quizzes tend to be quite difficult. However, she is easily approachable and always willing to answer questions. "
3,5.0,4.0, NSCI439,UNIVERSITY OF NORTH CAROLINA,MONICA,GAUDIER-DIAZ,"It's an upper-level NSCI class, so it's going to be difficult. But it's so interesting! And Dr. Gaudier-Diaz really makes the tough readings so much more understandable during lectures. There are lots of components to the class, but she gives you frequent reminders."
4,4.0,2.0, NSCI175,UNIVERSITY OF NORTH CAROLINA,MONICA,GAUDIER-DIAZ,"It wasn't the easiest material but as long as you go to the lectures and turn in the small assignments, you will be fine. She isn't there to make the class harder. There are 3 writing assignments over the semester and a quiz before each class that is easy to do after reading. She has a lot of extra credit and all exams are take home/online."
5,1.0,5.0, NSCI439,UNIVERSITY OF NORTH CAROLINA,MONICA,GAUDIER-DIAZ,Her class was much more difficult than it needed to be - it took an interesting topic and turned it into a painful/stressful topic. Her grading criteria is never clear. Her quizzes/exams are very hard and lecture notes only help with about 50% of the questions. She is not too receptive to feedback and makes you feel small. 
6,1.0,4.0, NSCI175,UNIVERSITY OF NORTH CAROLINA,MONICA,GAUDIER-DIAZ,"I wouldn't recommend taking a summer class with her. She rarely responds, her exams are so hard, and the amount of work for a 100 level course is a lot. She doesn't work with you much at all either, especially with summer conflicts."
7,4.0,4.0, NSCI175,UNIVERSITY OF NORTH CAROLINA,MONICA,GAUDIER-DIAZ,"Flipped classroom style, so if that's not for you, steer clear. Readings are dense but you can kind of go off lecture slides and find YT videos to explain material better than textbook would. Consists of 2 reading quizzes a week, class participation, 1 group project, 3 writing assignments, 3 tests, some other activities, and a final. "
8,5.0,3.0, NSCI175,UNIVERSITY OF NORTH CAROLINA,MONICA,GAUDIER-DIAZ,"Don't get me wrong, this class is challenging, and there is a lot of material to cover, but Dr. Gaudier-Diaz is very clear about what to know and what she expects of you. She is really nice, clearly loves the subject, and is passionate about making the class structure around student feedback. "
9,5.0,3.0, NSCI175,UNIVERSITY OF NORTH CAROLINA,MONICA,GAUDIER-DIAZ,"Dr. Gaudier-Diaz is fantastic. Her class does require a lot of reading, and each reading is important, but the readings are not difficult to comprehend. She is clear with what she wants, and she provides cushion for grading. She's very nice, and really cares about the material. I would 100% take her class again. "
10,2.0,3.0, NSCI175,UNIVERSITY OF NORTH CAROLINA,MONICA,GAUDIER-DIAZ,"spare your sanity and never take a summer class with her. prof was very disorganized, hard to get ahold of, and less than helpful. the work is not hard but the lecture videos don't cover pretty much anything on the exams. prof has been impossible to get in contact with when there is confusion--and there's a lot of it. would not recommend. "
