row,quality_of_class,difficulty_of_class,class_code,college,prof_firstname,prof_lastname,comment
1,2.0,1.0, PSYC180,UNIVERSITY OF NORTH CAROLINA,ROSA,LI,"She's nice but I didn't enjoy this class much. The content was disinteresting to me, she calls on people at random, and the excessive amount of GRQs was unnecessary. Grading was pretty fair and lots of extra credit. I've taken 8 PSYC classes, I think it may  be harder for people who haven't had psyc experience, especially for a 100-level course."
2,2.0,1.0, PSCY180,UNIVERSITY OF NORTH CAROLINA,ROSA,LI,"The final project was graded horrendously, along with the other papers throughout the semester. Not really bad grades, but points taken off and no real explanation. She wants to randomly call on people in class too, so be prepared to have an anxiety attack!! "
3,4.0,3.0, PSYC250,UNIVERSITY OF NORTH CAROLINA,ROSA,LI,"Dr. Li is very passionate and knowledgeable about child development psychology. Two lectures and one group activity each week. Her exams were tough, but she offers enough credit from papers and participation that it is still possible to get an A. She really cares about each of her students, so if you put in the work this is a great class!"
4,5.0,2.0, PSYC180,UNIVERSITY OF NORTH CAROLINA,ROSA,LI,"Dr. Li is a really skilled lecturer, she is engaging and funny. She begins every class by playing music relevant to the topic of the lecture and often includes memes or other pop culture references in her slides. There are several readings, more so in the beginning but they are completely necessary. Big group project at the end. Dr. Li is great."
5,4.0,2.0, PSYC250,UNIVERSITY OF NORTH CAROLINA,ROSA,LI,"Reading the textbook will get you a better score on the tests than going to every lecture. The lectures weren't the most engaging, but the content was interesting. There's lots of flexibility in the course (EC, dropping the lowest grade in every category other than test) so it's important to be strategic."
6,2.0,3.0, PSYC180,UNIVERSITY OF NORTH CAROLINA,ROSA,LI,"This class is conceptually easy (mostly common sense). The TAs do all of the grading so if you get stuck with one that grades harshly you're out of luck. Dr. Li is not super approachable but she does try to implement feedback. Overall, I think the course content is interesting but don't go in expecting an easy A. "
7,4.0,3.0, PSYC180,UNIVERSITY OF NORTH CAROLINA,ROSA,LI,"This was an interesting class, but wasn't an easy A for a gen-ed requirement. Several papers, a final group project, 3 exams, a final, and frequent check-up quizzes. There's some peer discussion in class, but it is mostly lecture-based. This topic is worth learning about, but it was definitely a more challenging course than I expected it to be. "
8,5.0,2.0, PSYC180,UNIVERSITY OF NORTH CAROLINA,ROSA,LI,The class isn't hard and the content is interesting. There were three unit exams that were each worth 10%. There were four papers throughout the course and she dropped the lowest paper grade. She also offers a free one-week extension for any one of the papers. The final was an exam and a group project. I highly recommend taking this class. 
9,5.0,3.0, PSYC250,UNIVERSITY OF NORTH CAROLINA,ROSA,LI,"Professor Li is super accommodating and understanding. Almost every type of assignment has a ""drop lowest"" including participation and papers. She does a great job at making diversity a focus in the course which was refreshing. Lectures were always easy to understand. A lot of textbook readings but that's pretty expected from a psych class. "
10,4.0,3.0, PSYC250,UNIVERSITY OF NORTH CAROLINA,ROSA,LI,She was a good professor and her lectures were pretty straightforward but her exams are set to like 20 questions so it was easy to miss one or two and make a B. Quiz every friday but you can take with a group the second try 
