row,quality_of_class,difficulty_of_class,class_code,college,prof_firstname,prof_lastname,comment
1,3.0,1.0, POLI434,UNIVERSITY OF NORTH CAROLINA,CECILIA,MARTINEZ-GALLARDO,Poli 434 was a very easy class. 55% of the grade came from either attendance or assignments that were graded on completion. She takes attendance but does so randomly. As long as you show up to class and turn things in you will get an A or an A-.
2,3.0,3.0, POLI434,UNIVERSITY OF NORTH CAROLINA,CECILIA,MARTINEZ-GALLARDO,"She lectured a lot and would go off on tangents that meant we didn't cover all the material in class. Her lectures were also a little hard to follow at times. Overall tho, I learned a lot abt Mexican politics and feel informed enough to speak on current events. She gives lots of little low-stakes assignments. Its a lot of work but not too hard."
3,5.0,2.0, POLI238,UNIVERSITY OF NORTH CAROLINA,CECILIA,MARTINEZ-GALLARDO,"I absolutely loved profesora Martinez-Gallardo. She is so passionate about Latin American politics, and was so so kind. I'm taking her POLI-434 course this Spring, and I'm super excited! "
4,1.0,3.0, POLI434,UNIVERSITY OF NORTH CAROLINA,CECILIA,MARTINEZ-GALLARDO,"Tedious lectures. Irresponsive professor. We didn't know any of our grades until right after the final. Pretty disorganized as well. Easy material, but the grading style was a little odd. "
5,5.0,2.0, POLI434,UNIVERSITY OF NORTH CAROLINA,CECILIA,MARTINEZ-GALLARDO,"The absolute cutest. I love this woman. She's so caring, kind, and involved. Really stresses mental health and learning to learn, very flexible. Totally recommend her Poli 238 (latin america) or Poli 434 (mexico)!"
6,4.0,2.0, POLI238,UNIVERSITY OF NORTH CAROLINA,CECILIA,MARTINEZ-GALLARDO,"She is clearly passionate and knowledgeable about Latin American politics, and that can come through by means of information overload - she sometimes gets lost in all the things she wants to say. However, she is very sweet, clearly cares about her students, and will give you plenty of opportunities to bring your grade up. Easy grader!"
7,4.0,1.0, POLI238,UNIVERSITY OF NORTH CAROLINA,CECILIA,MARTINEZ-GALLARDO,"Gallardo-Martinez is super sweet, caring, and understanding. Lots of extra credit. Pretty easy course. Lecture heavy. Overall, pretty ok course, which I enjoyed it more."
8,4.0,4.0, POLI238,UNIVERSITY OF NORTH CAROLINA,CECILIA,MARTINEZ-GALLARDO,"Professor was respectful, knowledgeable, and understanding. This class is a good foundation for contemporary Latin American politics. Readings for this class were accessible, and the due dates were clear as well. I would suggest paying attention to the readings and studying reading questions will prepare you other topics and exams."
9,4.0,2.0, POLI238,UNIVERSITY OF NORTH CAROLINA,CECILIA,MARTINEZ-GALLARDO,"Super sweet, caring, and loves the topic. I recommend taking this class especially if you're a Poli Sci major! Cons: readings can be long, exams have few questions (but are fairly easy), she's a little disorganized and can get off topic Overall I def liked it, lots of EC, interesting topics, sweet woman!!!"
10,5.0,3.0, POLI238,UNIVERSITY OF NORTH CAROLINA,CECILIA,MARTINEZ-GALLARDO,Great professor. CMG was always willing to help and her class was very engaging.
