row,quality_of_class,difficulty_of_class,class_code,college,prof_firstname,prof_lastname,comment
1,5.0,4.0, POLI202,UNIVERSITY OF NORTH CAROLINA,KEVIN,MCGUIRE,"Prof McGuire is a great professor. He is witty so lectures are usually fun. He does rely heavily on test grades for the final grade, which is difficult if you have test anxiety. He is easy to reach and willing to accommodate. Great professor and I will be taking a class with him again."
2,5.0,3.0, POLI410,UNIVERSITY OF NORTH CAROLINA,KEVIN,MCGUIRE,"Amazing professor!!!! The material is quite interesting, he made it easy to actively participate and made students question their own judgement (in a good way). The exam questions are written answer and very straight forward but he's quite picky about your wording and specificity (beware!). PUT IN THE TIME TO STUDY
"
3,5.0,2.0, POLI411,UNIVERSITY OF NORTH CAROLINA,KEVIN,MCGUIRE,"Prof. McGuire's class is unlike anything I've ever taken. At its root, you learn and understand court precedent through exploring and debating in class an issues history. About 80% of every class was devoted to discussion, which he drove with an energic albeit unhinged style. The class is based on tests which aren't hard if you know your stuff."
4,5.0,3.0, POLI410,UNIVERSITY OF NORTH CAROLINA,KEVIN,MCGUIRE,Professor McGuire is amazing. He makes material that would be dry to many very interesting and fun to learn due to his charismatic lecture style and wide breadth of knowledge. Anyone who has an interest in American Law should seriously considering taking this class or any others taught by Professor McGuire. 
5,4.0,3.0, POLI411,UNIVERSITY OF NORTH CAROLINA,KEVIN,MCGUIRE,"Great professor, really engaging, and pushes you to think critically about the positions you hold relative to the cases discussed. 3 exams and forum posts are all the grades in the class. Like has been stated before, no surprises and pretty straight forward. "
6,2.0,4.0, POLI410,UNIVERSITY OF NORTH CAROLINA,KEVIN,MCGUIRE,"Professor McGuire is a really nice guy and definitely wants to help, but I have never taken a more boring class at UNC - especially in the Poli department. Every class is just him lecturing about Supreme Court cases, and although that's the content of the class, he could have done so much more to make it engaging. A warning might have been nice."
7,5.0,3.0, POLI411,UNIVERSITY OF NORTH CAROLINA,KEVIN,MCGUIRE,"Awesome lecturer and very knowledgeable about the stuff he talks about. He normally gives the facts of the case and has the class discuss what we think about it. He's also really good at expressing the arguments for both sides of the case, which makes the class a lot more interesting. Test are straightforward and don't have any surprises"
8,1.0,5.0, POLI79,UNIVERSITY OF NORTH CAROLINA,KEVIN,MCGUIRE,"Confusing. Last minute assignment changes, poor feedback, lack of clarity in class, assignment,mark and comments. RUDE."
9,5.0,4.0, POLI411,UNIVERSITY OF NORTH CAROLINA,KEVIN,MCGUIRE,Professor McGuire is by far the best professor Ive had at UNC and this is one of the most interesting classes I have taken as well. His lectures are very interesting and riddled with dad jokes. He goes over most cases in class and the rest come from the book. Graded on 3 tests and discussion posts on piazza.
10,4.0,2.0, POLI411,UNIVERSITY OF NORTH CAROLINA,KEVIN,MCGUIRE,His lectures are very interesting but he does not go over all the cases you will be tested on so prepare to read the textbook for certain cases. Pretty cool guy until you get to controversial cases where he has to play devil's advocate to make students participate in the discussion.
