row,quality_of_class,difficulty_of_class,class_code,college,prof_firstname,prof_lastname,comment
1,2.0,2.0, POLI100,UNIVERSITY OF NORTH CAROLINA,JASON,ROBERTS,"The class was fine and uninteresting but not very hard if you read the textbook. Going to class was completely useless as he just repeats parts of the textbook you already read, but he takes attendance through quizzes. My TA was fantastic though and graded papers fairly. I just wish class time was more productive as I taught myself everything. "
2,2.0,3.0, POLI100,UNIVERSITY OF NORTH CAROLINA,JASON,ROBERTS,I was disappointed in this class because I was so excited to take it and knew it was going to be an easy A. Roberts was very all over the place during his lectures and got distracted most of the time. Most of the info on the exams was not talked about or just briefly skimmed over in the lecture. There's no way I should get a B- in a 100 level
3,2.0,1.0, POLI100,UNIVERSITY OF NORTH CAROLINA,JASON,ROBERTS,"Class is incredibly easy if you review the lecture slides and skim the textbook. The biggest issue would be the professor. Dr. Roberts, at times, had this aura of ""I'm better than you"" during his lectures. He would also use most of the class to just answer questions, without getting to the content. Overall, take it if you need an easy A."
4,2.0,3.0, POLI100,UNIVERSITY OF NORTH CAROLINA,JASON,ROBERTS,"This class is very lecture heavy so please please please pay attention during his lecture. Hie class his weighted on 3 exams, 2 papers, and participation in his class. READ THE TEXTBOOK! The most beneficial thing to do in his class is to read the textbook. "
5,2.0,4.0, POLI100,UNIVERSITY OF NORTH CAROLINA,JASON,ROBERTS,"This class was based on 3 tests, which was unfair and not based on what we learned what so ever. He isn't a bad lecturer but they were not helpful. Would not recommend unless you want have to. "
6,3.0,4.0, POLI100,UNIVERSITY OF NORTH CAROLINA,JASON,ROBERTS,"Professor Roberts is very easy to listen to and led very interesting lectures. However, his class is oriented around 3 exams and 2 papers. The exams are pretty tough, with a lot of trick questions. You have to read the textbook thoroughly and keep up with the lectures completely. The papers are slight. He does not curve exams."
7,1.0,4.0, POLI100,UNIVERSITY OF NORTH CAROLINA,JASON,ROBERTS,"Tests are hard for no reason. The second test (out of 3) had a 68 average. There are extra credit opportunities (to which I personally went to almost all of them) but not enough to come back from how bad the tests are. Normally an interesting lecture, but would not recommend."
8,1.0,4.0, POLI100,UNIVERSITY OF NORTH CAROLINA,JASON,ROBERTS,"For a 100-level class, this class is unnecessarily hard. The tests are hard to pass because it is based on the lecture slides and he words the exams so tricky. The average test scores were 70s and he does not curve them. Essays are easy but the exams will bring your grade down.
Definitely do not recommend."
9,3.0,3.0, POLI100,UNIVERSITY OF NORTH CAROLINA,JASON,ROBERTS,"Prof Roberts is very knowledgable, fair, and organized. He's not very flexible or accomodating, but the class is not too hard and the workload is reasonable. Totally fine professor and interesting class. Do the readings and you will be fine."
10,4.0,3.0, POLI100,UNIVERSITY OF NORTH CAROLINA,JASON,ROBERTS,"Class only consisted of three tests including final, two paper, recitation, and poll ev (had so many issues with poll ev technology).  Pretty chill class and getting a good grade is possible.  Keep up with readings and definitely study lecture slides for test.  Try to get Michael Greenberger for your TA; fair grader for papers."
