row,quality_of_class,difficulty_of_class,class_code,college,prof_firstname,prof_lastname,comment
1,3.0,3.0, ANTH217,UNIVERSITY OF NORTH CAROLINA,AMANDA,THOMPSON,"This is a bio anth class that is very manageable for people who don't get science lol. The tests can be a little difficult & the assignments a bit tedious, but otherwise an ok class. If you don't actually SEE/HEAR the lecture, you're going to miss a lot. Prof. Thompson is very considerate and caring though, she's not trying to make the class hard."
2,4.0,3.0, ANTH318,UNIVERSITY OF NORTH CAROLINA,AMANDA,THOMPSON,"This was my second time taking her and I find the whole content to be interesting in whole. The downside is that she can go through lectures real quick and exams take longer than expected, but in the end, everything is open note. Maymester was a challenge, so I would recommend taking at a regular semester. Overall the content alone was interesting."
3,4.0,3.0, ANTH319,UNIVERSITY OF NORTH CAROLINA,AMANDA,THOMPSON,"This class could have been more interesting than it was in my opinion. However, Dr. Thompson is really nice and understanding. There is a group project that is simple and headache free. Take the course!"
4,3.0,2.0, ANTH319,UNIVERSITY OF NORTH CAROLINA,AMANDA,THOMPSON,"Dr. Thompson and the TAs for this class are super nice, but I wish we had deeper discussions about issues in lectures/recitations. This class has a lot of biology and not as much anthropology as I anticipated, and the level of complexity (from the discussion in class to the group projects assignments) kinda reminded me of high school"
5,3.0,3.0, ANTH190,UNIVERSITY OF NORTH CAROLINA,AMANDA,THOMPSON,"A really nice professor. Exams were critically graded, so it is important that you do the readings. Lectures were interesting, though I felt the delivery was a bit boring."
6,3.0,4.0, ANTH319,UNIVERSITY OF NORTH CAROLINA,AMANDA,THOMPSON,"Thompson is very knowledgeable but feel like she often had trouble connecting with students in a way that helped us to learn. As much as I wanted to be interested in the class, lectures were mostly just her rambling. Most of the grades were subjective and was largely determined by the TA you had. I liked the class and would take it again but ehh."
7,3.0,4.0, ANTH319,UNIVERSITY OF NORTH CAROLINA,AMANDA,THOMPSON,"I really enjoyed Professor Thompson's lectures; they were very detailed and thought-provoking. However, I did pretty badly on both the midterm and the final even though I studied a lot and focused on the review guide. I would say her tests are harshly graded for sure and I never fully understood why I got points off."
8,4.0,4.0, ANTH319,UNIVERSITY OF NORTH CAROLINA,AMANDA,THOMPSON,"Dr. Thompson is absolutely brilliant. Her lectures were always engaging, clear, and purposeful. I will say that grading criteria was really unclear at times. This is definitely not her fault, but the class is enormous, which can make discussions difficult."
9,4.0,3.0, ANT319,UNIVERSITY OF NORTH CAROLINA,AMANDA,THOMPSON,"Prof. Thompson was kind and engaging, and I enjoyed her class. She assigned weekly readings, though her lecture slides alone sufficed. We worked on 3 case studies, a course project, a midterm, and a final. Tips: Always ask TA's for context on any assignment, because they grade differently, and study hard for the midterm - many take it for granted."
10,4.0,2.0, ANTH319,UNIVERSITY OF NORTH CAROLINA,AMANDA,THOMPSON,Great lecturer and really cares about the subject material. The group project is 40% of whole grade .
