college,prof_firstname,prof_lastname,program,male,non_white,link_rmp,notes
UNIVERSITY OF NORTH CAROLINA,DALE,WHITTINGTON,ENVIRONMENTAL SCIENCES & ENGINEERING,1,0,https://www.ratemyprofessors.com/professor/1003032,
UNIVERSITY OF NORTH CAROLINA,COURTNEY,WOODS,ENVIRONMENTAL SCIENCES & ENGINEERING,0,1,https://www.ratemyprofessors.com/professor/2257520,
UNIVERSITY OF NORTH CAROLINA,KARI,NORTH,EPIDEMIOLOGY,0,0,https://www.ratemyprofessors.com/professor/2129557,
UNIVERSITY OF NORTH CAROLINA,SUZANNE,MAMAN,HEALTH BEHAVIOR,0,0,https://www.ratemyprofessors.com/professor/2867726,Ratings are for Health Science
UNIVERSITY OF NORTH CAROLINA,BENJAMIN,MEIER,HEALTH POLICY & MANAGEMENT,1,0,https://www.ratemyprofessors.com/professor/1438954,Ratings are for Public Policy
UNIVERSITY OF NORTH CAROLINA,AMANDA,THOMPSON,NUTRITION,0,0,https://www.ratemyprofessors.com/professor/2137078,Ratings are for Anthropology
UNIVERSITY OF NORTH CAROLINA,ASHLEY,ANDERSON,POLITICAL SCIENCE,0,1,https://www.ratemyprofessors.com/professor/2433426,
UNIVERSITY OF NORTH CAROLINA,CAMERON,BALLARD-ROSA,POLITICAL SCIENCE,1,0,https://www.ratemyprofessors.com/professor/2311209,
UNIVERSITY OF NORTH CAROLINA,NAVIN,BAPAT,POLITICAL SCIENCE,1,1,https://www.ratemyprofessors.com/professor/1065039,
UNIVERSITY OF NORTH CAROLINA,ANNA,BASSI,POLITICAL SCIENCE,0,0,https://www.ratemyprofessors.com/professor/1648996,
UNIVERSITY OF NORTH CAROLINA,FRANK,BAUMGARTNER,POLITICAL SCIENCE,1,0,https://www.ratemyprofessors.com/professor/2110893,
UNIVERSITY OF NORTH CAROLINA,SUSAN,BICKFORD,POLITICAL SCIENCE,0,0,https://www.ratemyprofessors.com/professor/977159,
UNIVERSITY OF NORTH CAROLINA,CHRISTOPHER,CLARK,POLITICAL SCIENCE,1,1,https://www.ratemyprofessors.com/professor/1891944,
UNIVERSITY OF NORTH CAROLINA,PAMELA,CONOVER,POLITICAL SCIENCE,0,0,https://www.ratemyprofessors.com/professor/47127,
UNIVERSITY OF NORTH CAROLINA,MARK,CRESCENZI,POLITICAL SCIENCE,1,?,https://www.ratemyprofessors.com/professor/853456,
UNIVERSITY OF NORTH CAROLINA,STEPHEN,GENT,POLITICAL SCIENCE,1,0,https://www.ratemyprofessors.com/professor/1484189,
UNIVERSITY OF NORTH CAROLINA,SUZANNE,GLOBETTI,POLITICAL SCIENCE,0,0,https://www.ratemyprofessors.com/professor/2698056,
UNIVERSITY OF NORTH CAROLINA,JONATHAN,HARTLYN,POLITICAL SCIENCE,1,0,https://www.ratemyprofessors.com/professor/2426834,
UNIVERSITY OF NORTH CAROLINA,MARC,HETHERINGTON,POLITICAL SCIENCE,1,0,https://www.ratemyprofessors.com/professor/2545416,
UNIVERSITY OF NORTH CAROLINA,LIESBET,HOOGHE,POLITICAL SCIENCE,0,0,https://www.ratemyprofessors.com/professor/1161460,
